большею частью пьер 0.0909090909091
пьер был женатый 0.0294117647059
человек этот судорожно 0.0454545454545
этой партии казалось 0.0769230769231
князь андрей любовался 0.0025706940874
князь багратион ранен 0.0277777777778
несколько человек фельдшеров 0.0555555555556

уже давно известно 0.03125
котором он стал 0.0147058823529
2 2 едва 0.00416666666667
это было страшно 0.00446428571429
того только чтобы 0.0833333333333
его из сада 0.0526315789474
со мною пари 0.0285714285714
то вдруг поднимался 0.0833333333333
-- говорили эти 0.0625
2 2 предмет 0.00416666666667
еще раз напомнив 0.0166666666667
ко мне зашел 0.00769230769231
он почувствовал как 0.037037037037
а ежели тебе 0.0454545454545
целый день был 0.0434782608696
от всех услуги 0.03125
последнее время смотрели 0.0169491525424
ни разу тотчас 0.025641025641
было бы дурно 0.0111111111111
он был тут 0.00859598853868
которых он видел 0.0535714285714
князь андрей стоял 0.00514138817481
были эти благородные 0.0833333333333
его были больше 0.0526315789474
-- сказала мавруша 0.00202839756592
со времени появления 0.0285714285714
был влюблен володя 0.0714285714286
то есть люди 0.0077519379845
бы ни поднимался 0.0222222222222
было уже много 0.0384615384615
которых он был 0.0892857142857
он будет сапожник 0.0294117647059
последние дни были 0.0833333333333
-- вам должно 0.0714285714286
это самое сражение 0.0588235294118
еще раз низко 0.0166666666667
исторических лиц то 0.0714285714286
как казалось французам 0.0625
со мной сделали 0.0454545454545
сказала марья генриховна 0.030303030303
еще раз скажу 0.0166666666667
по этому письму 0.0952380952381
верстах от смоленка 0.047619047619
одно время со 0.0833333333333
несколько дней тому 0.0666666666667
говорила она себе 0.0882352941176
княжна марья остановилась 0.00547945205479
как у всех 0.027027027027
между двумя курившими 0.0714285714286
будто он все 0.0185185185185
-- это понять 0.00657894736842
во время чтения 0.00546448087432
почему он убедился 0.0588235294118
это известие неприятно 0.0909090909091
его был кандидат 0.0454545454545
он называл господскую 0.0526315789474
это движение немного 0.0526315789474
он писал сюда 0.047619047619
князь василий откровеннее 0.00649350649351
из этих внимательных 0.030303030303
быстрыми шагами направился 0.0769230769231
авдотья васильевна имела 0.0769230769231
сказал он после 0.00322580645161
как он запыхавшись 0.00291545189504
остановился у своей 0.0714285714286
от вас отношения 0.0769230769231
это было время 0.00446428571429
русское войско более 0.0833333333333
он сам думали 0.00980392156863
еще раз повторил 0.0333333333333
первый раз обрил 0.00763358778626
нужно было танцевать 0.010101010101
потом опять один 0.0526315789474
чем больше тепла 0.0333333333333
все это устроить 0.003861003861
тот самый мрачный 0.0238095238095
том же -- 0.0161290322581
где они собрались 0.0909090909091
у нас потеря 0.0108695652174
давно уже присоединился 0.0416666666667
во главе своей 0.0555555555556
он хочет обласкать 0.0526315789474
все это был 0.003861003861
пьер хотел сказать 0.0909090909091
слышны были из 0.04
могло бы случиться 0.0454545454545
себя от мысли 0.0588235294118
во всяком практическом 0.0769230769231
пор как поступил 0.0434782608696
